blockname,availability,timeblock
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:0600/02JAN2017:0700
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:0700/02JAN2017:0800
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:0800/02JAN2017:0900
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:0900/02JAN2017:1000
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:1000/02JAN2017:1100
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:1100/02JAN2017:1200
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:1200/02JAN2017:1300
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:1300/02JAN2017:1400
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:1400/02JAN2017:1500
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:1500/02JAN2017:1600
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:1600/02JAN2017:1700
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:1700/02JAN2017:1800
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:1800/02JAN2017:1900
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:1900/02JAN2017:2000
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:2000/02JAN2017:2100
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:2100/02JAN2017:2200
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:2200/02JAN2017:2300
SHG/MARFC/PRECIP/STAGEIII,m,02JAN2017:2300/02JAN2017:2400
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:0000/03JAN2017:0100
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:0100/03JAN2017:0200
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:0200/03JAN2017:0300
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:0300/03JAN2017:0400
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:0400/03JAN2017:0500
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:0500/03JAN2017:0600
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:0600/03JAN2017:0700
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:0700/03JAN2017:0800
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:0800/03JAN2017:0900
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:0900/03JAN2017:1000
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:1000/03JAN2017:1100
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:1100/03JAN2017:1200
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:1200/03JAN2017:1300
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:1300/03JAN2017:1400
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:1400/03JAN2017:1500
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:1500/03JAN2017:1600
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:1600/03JAN2017:1700
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:1700/03JAN2017:1800
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:1800/03JAN2017:1900
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:1900/03JAN2017:2000
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:2000/03JAN2017:2100
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:2100/03JAN2017:2200
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:2200/03JAN2017:2300
SHG/MARFC/PRECIP/STAGEIII,m,03JAN2017:2300/03JAN2017:2400
SHG/MARFC/PRECIP/STAGEIII,m,04JAN2017:0000/04JAN2017:0100
SHG/MARFC/PRECIP/STAGEIII,m,04JAN2017:0100/04JAN2017:0200
SHG/MARFC/PRECIP/STAGEIII,m,04JAN2017:0200/04JAN2017:0300
